Product_ID,Product_Name,Category,Stock_Quantity,Expiry_Date,Supplier,Price_INR
P082,Cough Syrup,Syrup,101,2028-03-30,PharmaPlus,384.29
P083,Vitamin C Tablets,Tablet,173,2028-03-06,MediHealth Pvt Ltd,485.86
P084,Pain Relief Gel,Tablet,110,2026-05-02,LifeCare Suppliers,23.43
P085,Antacid Suspension,Medical Supply,98,2027-06-10,PharmaPlus,197.38
P086,Eye Drops,Tablet,90,2028-01-03,LifeCare Suppliers,296.94
P087,Bandage Roll,Injection,7,2027-10-15,PharmaPlus,470.05
P088,Insulin Injection,Tablet,152,2028-07-22,PharmaPlus,377.21
P089,Insulin Injection,Injection,174,2028-02-29,PharmaPlus,204.56
P090,Glucose Powder,Ointment,52,2027-08-09,MediHealth Pvt Ltd,493.9
P091,Cough Syrup,Ointment,78,2028-05-09,PharmaPlus,236.12
P092,Paracetamol 500mg,Syrup,9,2027-01-30,LifeCare Suppliers,397.54
P093,Paracetamol 500mg,Ointment,47,2026-06-20,MediHealth Pvt Ltd,110.11
P094,Cough Syrup,Medical Supply,143,2027-11-07,PharmaPlus,62.7
P095,Cetirizine 10mg,Tablet,84,2028-03-25,LifeCare Suppliers,245.93
P096,Vitamin C Tablets,Syrup,125,2027-01-16,LifeCare Suppliers,463.13
P097,Paracetamol 500mg,Tablet,46,2028-06-01,Wellness Distributors,437.46
P098,Paracetamol 500mg,Tablet,34,2026-10-24,LifeCare Suppliers,15.0
P099,Azithromycin 500mg,Capsule,165,2028-05-24,PharmaPlus,345.75
P100,Eye Drops,Injection,180,2028-06-28,LifeCare Suppliers,72.56
